id,name,state
1000,Alabama1,AL
1001,Autauga1,AL
1003,Baldwin1,AL
1005,Barbour1,AL
1007,Bibb1,AL
1009,Blount1,AL
1011,Bullock1,AL
1013,Butler1,AL
1015,Calhoun1,AL
1017,Chambers1,AL
1019,Cherokee1,AL
1021,Chilton1,AL
1023,Choctaw1,AL
1025,Clarke1,AL
1027,Clay1,AL
1029,Cleburne1,AL
1031,Coffee1,AL
1033,Colbert1,AL
1035,Conecuh1,AL
1037,Coosa1,AL
1039,Covington1,AL
1041,Crenshaw1,AL
1043,Cullman1,AL
1045,Dale1,AL
1047,Dallas1,AL
1049,De Kalb1,IN
1051,Elmore1,AL
1053,Escambia1,AL
1055,Etowah1,AL
1057,Fayette1,AL
1059,Franklin1,AL
1061,Geneva1,AL
1063,Greene1,AL
1065,Hale1,AL
1067,Henry1,AL
1069,Houston1,AL
1071,Jackson1,AL
1073,Jefferson1,AL
1075,Lamar1,AL
1077,Lauderdale1,AL
1079,Lawrence1,AL
1081,Lee1,AL
1083,Limestone1,AL
1085,Lowndes1,AL
1087,Macon1,AL
1089,Madison1,AL
1091,Marengo1,AL
1093,Marion1,AL
1095,Marshall1,AL
1097,Mobile1,AL
1099,Monroe1,AL
1101,Montgomery1,AL
1103,Morgan1,AL
1105,Perry1,AL
1107,Pickens1,AL
1109,Pike1,AL
1111,Randolph1,AL
1113,Russell1,AL
1115,St. Clair1,AL
1117,Shelby1,AL
1119,Sumter1,AL
1121,Talladega1,AL
1123,Tallapoosa1,AL
1125,Tuscaloosa1,AL
1127,Walker1,AL
1129,Washington1,AL
1131,Wilcox1,AL
1133,Winston1,AL
2000,Alaska1,AL
2013,Aleutians East1,AK
2016,Aleutians West1,AK
2020,Anchorage1,AK
2050,Bethel1,AK
2060,Bristol Bay1,AK
2068,Denali1,AK
2070,Dillingham1,AK
2090,Fairbanks North Star1,AK
2100,Haines1,AK
2110,Juneau1,AK
2122,Kenai Peninsula1,AK
2130,Ketchikan Gateway1,AK
2150,Kodiak Island1,AK
2164,Lake and Peninsula1,AK
2170,Matanuska-Susitna1,AK
2180,Nome1,AK
2185,North Slope1,AK
2188,Northwest Arctic1,AK
2201,Prince of Wales-Outer Ketchikan1,AK
2220,Sitka1,AK
2232,Skagway-Hoonah-Angoon1,AK
2240,Southeast Fairbanks1,AK
2261,Valdez-Cordova1,AK
2270,Wade Hampton1,AK
2280,Wrangell-Petersburg1,AK
2282,Yakutat1,AK
2290,Yukon-Koyukuk1,AK
4000,Arizona1,AK
4001,Apache1,AZ
4003,Cochise1,AZ
4005,Coconino1,AZ
4007,Gila1,AZ
4009,Graham1,AZ
4011,Greenlee1,AZ
4012,La Paz1,AZ
4013,Maricopa1,AZ
4015,Mohave1,AZ
4017,Navajo1,AZ
4019,Pima1,AZ
4021,Pinal1,AZ
4023,Santa Cruz1,AZ
4025,Yavapai1,AZ
4027,Yuma1,AZ
5000,Arkansas1,AZ
5001,Arkansas2,AR
5003,Ashley1,AR
5005,Baxter1,AR
5007,Benton1,AR
5009,Boone1,AR
5011,Bradley1,AR
5013,Calhoun2,AR
5015,Carroll1,AR
5017,Chicot1,AR
5019,Clark1,AR
5021,Clay2,AR
5023,Cleburne2,AR
5025,Cleveland1,AR
5027,Columbia1,AR
5029,Conway1,AR
5031,Craighead1,AR
5033,Crawford1,AR
5035,Crittenden1,AR
5037,Cross1,AR
5039,Dallas2,AR
5041,Desha1,AR
5043,Drew1,AR
5045,Faulkner1,AR
5047,Franklin2,AR
5049,Fulton1,AR
5051,Garland1,AR
5053,Grant1,AR
5055,Greene2,AR
5057,Hempstead1,AR
5059,Hot Spring1,AR
5061,Howard1,AR
5063,Independence1,AR
5065,Izard1,AR
5067,Jackson2,AR
5069,Jefferson2,AR
5071,Johnson1,AR
5073,Lafayette1,AR
5075,Lawrence2,AR
5077,Lee2,AR
5079,Lincoln1,AR
5081,Little River1,AR
5083,Logan1,AR
5085,Lonoke1,AR
5087,Madison2,AR
5089,Marion2,AR
5091,Miller1,AR
5093,Mississippi1,AR
5095,Monroe2,AR
5097,Montgomery2,AR
5099,Nevada1,AR
5101,Newton1,AR
5103,Ouachita1,AR
5105,Perry2,AR
5107,Phillips1,AR
5109,Pike2,AR
5111,Poinsett1,AR
5113,Polk1,AR
5115,Pope1,AR
5117,Prairie1,AR
5119,Pulaski1,AR
5121,Randolph2,AR
5123,St. Francis1,AR
5125,Saline1,AR
5127,Scott1,AR
5129,Searcy1,AR
5131,Sebastian1,AR
5133,Sevier1,AR
5135,Sharp1,AR
5137,Stone1,AR
5139,Union1,AR
5141,Van Buren1,AR
5143,Washington2,AR
5145,White1,AR
5147,Woodruff1,AR
5149,Yell1,AR
6000,California1,AR
6001,Alameda1,CA
6003,Alpine1,CA
6005,Amador1,CA
6007,Butte1,CA
6009,Calaveras1,CA
6011,Colusa1,CA
